year;week;epid;season;t_inc;yearweek
1985;1;0;1985;155;198501
1985;2;0;1985;177;198502
1985;3;1;1985;388;198503
1985;4;1;1985;770;198504
1985;5;1;1985;1155;198505
1985;6;1;1985;1026;198506
1985;7;1;1985;855;198507
1985;8;1;1985;707;198508
1985;9;1;1985;670;198509
1985;10;1;1985;640;198510
1985;11;1;1985;501;198511
1985;12;1;1985;445;198512
1985;13;1;1985;357;198513
1985;14;1;1985;244;198514
1985;15;0;1985;116;198515
1985;16;0;1985;91;198516
1985;17;0;1985;62;198517
1985;18;0;1985;74;198518
1985;19;0;1985;78;198519
1985;20;0;1985;51;198520
1985;21;0;1985;47;198521
1985;22;0;1985;44;198522
1985;23;0;1985;35;198523
1985;24;0;1985;36;198524
1985;25;0;1985;35;198525
1985;26;0;1985;34;198526
1985;27;0;1986;36;198527
1985;28;0;1986;26;198528
1985;29;0;1986;24;198529
1985;30;0;1986;21;198530
1985;31;0;1986;31;198531
1985;32;0;1986;14;198532
1985;33;0;1986;41;198533
1985;34;0;1986;73;198534
1985;35;0;1986;55;198535
1985;36;0;1986;51;198536
1985;37;0;1986;40;198537
1985;38;0;1986;50;198538
1985;39;0;1986;72;198539
1985;40;0;1986;90;198540
1985;41;0;1986;83;198541
1985;42;0;1986;138;198542
1985;43;0;1986;158;198543
1985;44;0;1986;122;198544
1985;45;0;1986;104;198545
1985;46;0;1986;128;198546
1985;47;0;1986;120;198547
1985;48;0;1986;124;198548
1985;49;0;1986;120;198549
1985;50;0;1986;156;198550
1985;51;0;1986;208;198551
1985;52;0;1986;157;198552
1986;1;0;1986;203;198601
1986;2;1;1986;322;198602
1986;3;1;1986;490;198603
1986;4;1;1986;629;198604
1986;5;1;1986;658;198605
1986;6;1;1986;793;198606
1986;7;1;1986;886;198607
1986;8;1;1986;810;198608
1986;9;1;1986;580;198609
1986;10;1;1986;464;198610
1986;11;1;1986;303;198611
1986;12;1;1986;225;198612
1986;13;0;1986;157;198613
1986;14;0;1986;90;198614
1986;15;0;1986;77;198615
1986;16;0;1986;74;198616
1986;17;0;1986;63;198617
1986;18;0;1986;57;198618
1986;19;0;1986;40;198619
1986;20;0;1986;31;198620
1986;21;0;1986;26;198621
1986;22;0;1986;18;198622
1986;23;0;1986;26;198623
1986;24;0;1986;20;198624
1986;25;0;1986;20;198625
1986;26;0;1986;16;198626
1986;27;0;1987;14;198627
1986;28;0;1987;4;198628
1986;29;0;1987;7;198629
1986;30;0;1987;4;198630
1986;31;0;1987;4;198631
1986;32;0;1987;2;198632
1986;33;0;1987;6;198633
1986;34;0;1987;10;198634
1986;35;0;1987;19;198635
